dataset,selector,strategy,size,effective_size,budget,n_test,validity,failure_rate,l0_count_mean,steps_mean,steps_max,proximity_l2_jaccard,lof_scores_cf,frac_oob,true_actionability,runtime_s
moons,prob_ascent,random_both,512,512,2,100,0.82,0.18,1.329268292682927,1.329268292682927,2.0,0.6588962043990071,1.0267217535173179,0.0,1.0,74.82
moons,prob_ascent,random_both,512,512,4,100,0.82,0.18,1.329268292682927,1.329268292682927,2.0,0.6588962043990071,1.0075290880469296,0.0,1.0,86.86
moons,prob_ascent,random_both,512,512,8,100,0.82,0.18,1.329268292682927,1.329268292682927,2.0,0.6588962043990071,1.0075290880469296,0.0,1.0,88.07
moons,prob_ascent,random_both,512,512,16,100,0.82,0.18,1.329268292682927,1.329268292682927,2.0,0.6588962043990071,1.0075290880469296,0.0,1.0,89.3
moons,prob_ascent,random_both,512,512,32,100,0.82,0.18,1.329268292682927,1.329268292682927,2.0,0.6588962043990071,1.0075290880469296,0.0,1.0,88.02
moons,prob_ascent,random_both,512,512,64,100,0.82,0.18,1.329268292682927,1.329268292682927,2.0,0.6588962043990071,1.0075290880469296,0.0,1.0,87.39
